Date,Open,High,Low,Close,Adj Close,Volume
1992/12/1,1.032986,1.121528,0.954861,1.092014,0.752408,1755698400
1993/1/1,1.09375,1.315972,1.059028,1.229167,0.846908,1898136000
1993/2/1,1.239583,1.309028,1.069444,1.21875,0.839731,2421964800
1993/3/1,1.215278,1.340278,1.125,1.243056,0.856478,2025608400
1993/4/1,1.25,1.291667,1.076389,1.145833,0.78949,1195513200
1993/5/1,1.138889,1.5625,1.111111,1.5,1.033515,1731826800
1993/6/1,1.506944,1.590278,1.361111,1.520833,1.047869,1196928000
1993/7/1,1.506944,1.583333,1.3125,1.440972,0.992844,1234281600
1993/8/1,1.4375,1.645833,1.3125,1.326389,0.913895,2216275200
1993/9/1,1.3125,1.506944,1.118056,1.388889,0.956958,2873559600
1993/10/1,1.381944,1.451389,1.236111,1.423611,0.980882,1661670000
1993/11/1,1.430556,1.618056,1.357639,1.5625,1.076578,1763553600
1993/12/1,1.569444,1.826389,1.5625,1.795139,1.236869,1634274000
1994/1/1,1.791667,2.013889,1.756944,2.013889,1.387589,1359061200
1994/2/1,2.013889,2.107639,1.944444,2.048611,1.411513,1372345200
1994/3/1,2.069444,2.263889,1.722222,1.902778,1.311033,1845878400
1994/4/1,1.833333,2,1.555556,1.684028,1.160312,1519173000
1994/5/1,1.704861,1.888889,1.201389,1.375,0.947388,2831634000
1994/6/1,1.381944,1.423611,1.131944,1.298611,0.894756,1335670200
1994/7/1,1.319444,1.381944,1.041667,1.166667,0.803845,1951124400
1994/8/1,1.194444,1.479167,1.131944,1.378472,0.949781,1959174000
1994/9/1,1.361111,1.534722,1.3125,1.520833,1.047869,1389414600
1994/10/1,1.520833,1.694444,1.416667,1.673611,1.153134,1607736600
1994/11/1,1.666667,1.923611,1.652778,1.791667,1.234476,1722767400
1994/12/1,1.777778,2.010417,1.645833,1.951389,1.344526,1101767400
1995/1/1,1.944444,2.083333,1.798611,1.854167,1.277539,1131670800
1995/2/1,1.868056,2.107639,1.8125,1.875,1.291893,1417438800
1995/3/1,1.861111,2.215278,1.826389,2.118056,1.459361,1613448000
1995/4/1,2.104167,2.284722,2.048611,2.215278,1.526348,1295299800
1995/5/1,2.208333,2.673611,2.166667,2.430556,1.674677,1614682800
1995/6/1,2.444444,2.923611,2.430556,2.809028,1.935447,1147854600
1995/7/1,2.8125,3.263889,2.652778,3.097222,2.134016,1387785600
1995/8/1,3.111111,3.722222,2.847222,3.645833,2.512014,2084468400
1995/9/1,3.631944,4.104167,3.590278,3.833333,2.641203,1438624800
1995/10/1,3.833333,4.520833,3.388889,4.305556,2.96657,2000775600
1995/11/1,4.298611,4.965278,4.194444,4.673611,3.220164,2141733600
1995/12/1,4.756944,4.763889,3.861111,4.145833,2.85652,2181351600
1996/1/1,4.138889,4.680556,3.548611,4.625,3.18667,2665258200
1996/2/1,4.625,5.666667,4.611111,5.277778,3.63644,1771526700
1996/3/1,5.222222,5.472222,4.5,5.152778,3.550314,1627307100
1996/4/1,5.180556,5.833333,4.861111,5.763889,3.971376,1454352300
1996/5/1,5.763889,6.430556,5.555556,6.083333,4.191476,1283464800
1996/6/1,6.083333,6.402778,5.527778,6.291667,4.335019,1023753600
1996/7/1,6.305556,6.569444,4.972222,5.75,3.961806,1933807500
1996/8/1,5.805556,6.597222,5.777778,5.861111,4.038363,1256923800
1996/9/1,5.777778,7.222222,5.666667,6.895833,4.751296,1212792300
1996/10/1,6.875,7.444444,6.375,6.875,4.736942,1503506700
1996/11/1,6.944444,7.611111,6.583333,7.541667,5.19628,1215986400
1996/12/1,7.555556,7.680556,6.888889,7.069444,4.870915,1084011300
1997/1/1,7.069444,8.416667,6.916667,7.75,5.339826,1548228600
1997/2/1,7.847222,7.944444,5.986111,6.180556,4.258462,2846935800
1997/3/1,6.097222,6.402778,5.104167,5.347222,3.684287,2910160800
1997/4/1,5.166667,6.25,5.027778,5.75,3.961806,2643107400
1997/5/1,5.777778,7.791667,5.722222,7.527778,5.186713,2663511300
1997/6/1,7.597222,7.972222,6.944444,7.458333,5.138864,1649209500
1997/7/1,7.5,8.993056,7.5,8.840278,6.09104,1382307300
1997/8/1,8.840278,9.25,8.111111,8.375,5.770457,1410939000
1997/9/1,8.444444,8.777778,7.722222,8.118056,5.593421,1320131700
1997/10/1,8.166667,9.472222,7.569444,9.114583,6.280038,1940232600
1997/11/1,9.215278,9.645833,8.486111,9.583333,6.60301,1254897000
1997/12/1,9.694444,10.097222,7.944444,9.291667,6.402048,2113333800
1998/1/1,9.4375,10.791667,8.583333,10.510417,7.24178,1282155600
1998/2/1,10.822917,11.416667,10.354167,10.979167,7.564756,1077183600
1998/3/1,11.145833,11.666667,10,11.395833,7.851838,1241974200
1998/4/1,11.447917,12.458333,11.010417,12.208333,8.41166,967026000
1998/5/1,12.291667,13.583333,12.197917,12.604167,8.684394,901249800
1998/6/1,12.625,15.708333,12.15625,15.34375,10.571992,1233312600
1998/7/1,15.572917,17.416668,15.083333,15.958333,10.995444,1270856400
1998/8/1,16.020832,17.541668,13.583333,13.645833,9.402115,1876048800
1998/9/1,14.041667,17.058594,13.645833,15.453125,10.647357,1683170400
1998/10/1,15.03125,15.9375,10.28125,15.75,10.851905,2174566400
1998/11/1,15.953125,20.09375,15.609375,18.84375,12.983528,1087001200
1998/12/1,18.53125,24.4375,18.46875,23.203125,15.987181,1214291600
1999/1/1,23.625,28,22.46875,27.890625,19.216908,1420421200
1999/2/1,28.265625,29.375,22.90625,24.453125,16.848444,1487170800
1999/3/1,24.4375,28.125,23.5,27.390625,18.872412,1134463200
1999/4/1,27.625,30,24.8125,28.515625,19.647545,1125257600
1999/5/1,28.4375,30.578125,25.9375,27.25,18.775518,1153496000
1999/6/1,27.265625,32.71875,26.375,32.21875,22.199036,1066650600
1999/7/1,32.53125,34.625,30.5,31.0625,21.402369,728575600
1999/8/1,30.84375,35.15625,28.078125,33.90625,23.36174,893489400
1999/9/1,34.09375,36.78125,32.9375,34.28125,23.620117,754829800
1999/10/1,33.96875,37.25,32.53125,37,25.493362,828612600
1999/11/1,36.5,47.75,34.9375,44.59375,30.725538,913060600
1999/12/1,45.1875,53.59375,44.59375,53.5625,36.905071,843159600
